Provinsi,PDRB_KAPITA,IPM,TPT,PST_KEMISKINAN,AHH_L,AHH_P,APS_07_12,APS_13_15,APS_16_18,APS_19_23,PST_PEROKOK
Aceh,34674,72.18,6.3,15.33,70.74,74.77,99.67,98.42,83.28,34.95,28.3
Sumatera Utara,57442,72.00,6.33,9.01,71.07,75.23,99.32,96.99,78.66,29.34,27.24
Sumatera Barat,45218,72.65,6.52,6.63,71.4,75.91,99.61,96.63,84.07,39.4,30.5
Riau,129741,72.94,4.42,7.12,71.47,76.08,99.65,95.66,77.81,30.38,28.34
Jambi,64771,71.63,5.09,8.09,71.25,75.61,99.66,96.39,72.5,25.63,27.47
Sumatera Selatan,57745,70.24,4.98,12.84,71.31,75.74,99.65,94.85,71.53,20.41,30.65
Bengkulu,39167,71.64,3.65,15.22,70.69,74.71,99.76,97.49,79.75,33.59,33.17
Lampung,40807,69.9,4.69,12.62,71.48,76.09,99.53,95.58,71.72,23.05,34.07
Kepulauan Bangka Belitung,58406,71.69,5.03,4.9,71.31,75.74,99.47,93.17,68.15,19.1,28.16
Kepulauan Riau,131884,75.79,9.91,6.12,71.89,76.95,99.62,98.85,84.4,22.69,26.17
DKI Jakarta,274660,81.11,8.5,4.72,72.58,78.12,99.53,98.68,72.32,26.91,24.44
Jawa Barat,45234,72.45,9.82,8.4,71.9,76.97,99.5,95.09,67.8,24.82,32.68
Jawa Tengah,38568,72.16,5.95,11.79,72.61,77.13,99.66,96.84,70.79,25.19,28.24
DI Yogyakarta,40516,80.22,4.56,12.8,73.27,76.97,99.7,99.43,89.63,56.41,24.54
Jawa Timur,59988,72.14,5.74,11.4,71.84,76.84,99.4,97.76,74.14,27.1,28.53
Banten,55383,72.72,8.98,6.66,71.77,76.69,99.45,96.77,68.94,23.54,31.76
Bali,50758,75.69,5.37,4.53,71.88,76.93,99.7,98.22,83.96,31.48,19.58
Nusa Tenggara Barat,26009,68.65,3.01,14.14,69.39,73.36,99.52,98.34,77.49,27.22,32.71
Nusa Tenggara Timur,20555,65.28,3.77,20.99,69.08,73.03,98.42,95.32,75.77,32.41,27.22
Kalimantan Barat,42253,67.9,5.82,7.15,71.17,75.45,98.64,93.14,69.38,26.08,27.93
Kalimantan Tengah,62834,71.25,4.53,5.16,71.1,75.29,99.55,95.21,66.7,25.43,29.33
Kalimantan Selatan,48066,71.28,4.95,4.83,71.28,75.68,99.38,93.5,69.31,27.64,24.51
Kalimantan Timur,183158,76.88,6.83,6.54,72.32,76.47,99.6,98.9,82.01,33.45,23.37
Kalimantan Utara,157092,71.19,4.58,7.36,71.32,75.76,98.67,96.51,76.5,27.5,27.46
Sulawesi Utara,54034,73.3,7.06,7.77,71.22,75.55,99.37,95.41,73.86,24.59,27.87
Sulawesi Tengah,82017,69.79,3.75,13.0,68.49,72.42,98.5,93.32,76.32,30.14,29.77
Sulawesi Selatan,59503,72.24,5.72,8.78,71.08,75.25,99.29,93.55,71.21,35.8,24.91
Sulawesi Tenggara,52436,71.66,3.92,11.66,69.67,73.65,99.16,95.06,75.02,33.64,25.85
Gorontalo,37087,69.00,3.01,15.61,68.01,71.95,99.02,92.05,71.3,34.68,30.5
Sulawesi Barat,35195,66.36,3.13,11.29,68.16,72.1,98.19,90.12,71.22,25.36,27.17
Maluku,26153,69.71,6.93,17.87,67.93,71.87,99.52,97.65,79.68,40.97,27.9
Maluku Utara,40381,68.76,4.71,6.89,68.25,72.19,98.84,97.0,77.01,32.21,29.84
Papua Barat,74022,65.26,5.84,21.84,66.01,70.0,98.08,96.85,81.21,34.77,27.07
Papua,54051,60.62,3.33,26.86,65.78,69.76,83.43,80.02,63.98,25.26,24.91
