CO2 Emissions(g/km);Engine Size(L);Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Make;Model;Vehicle Class;Cylinders;Transmission;Fuel Type
196;2;10;7;9;ACURA;ILX;COMPACT;4;AS5;Z
221;2;11;8;10;ACURA;ILX;COMPACT;4;M6;Z
136;2;6;6;6;ACURA;ILX HYBRID;COMPACT;4;AV7;Z
255;4;13;9;11;ACURA;MDX 4WD;SUV - SMALL;6;AS6;Z
244;4;12;9;11;ACURA;RDX AWD;SUV - SMALL;6;AS6;Z
230;4;12;8;10;ACURA;RLX;MID-SIZE;6;AS6;Z
232;4;12;8;10;ACURA;TL;MID-SIZE;6;AS6;Z
255;4;13;9;11;ACURA;TL AWD;MID-SIZE;6;AS6;Z
267;4;13;10;12;ACURA;TL AWD;MID-SIZE;6;M6;Z
212;2;11;8;9;ACURA;TSX;COMPACT;4;AS5;Z
225;2;11;8;10;ACURA;TSX;COMPACT;4;M6;Z
239;4;12;8;10;ACURA;TSX;COMPACT;6;AS5;Z
193;2;10;7;8;ALFA ROMEO;4C;TWO-SEATER;4;AM6;Z
359;6;18;13;16;ASTON MARTIN;DB9;MINICOMPACT;12;A6;Z
359;6;18;13;16;ASTON MARTIN;RAPIDE;SUBCOMPACT;12;A6;Z
338;5;17;11;15;ASTON MARTIN;V8 VANTAGE;TWO-SEATER;8;AM7;Z
354;5;18;12;15;ASTON MARTIN;V8 VANTAGE;TWO-SEATER;8;M6;Z
338;5;17;11;15;ASTON MARTIN;V8 VANTAGE S;TWO-SEATER;8;AM7;Z
354;5;18;12;15;ASTON MARTIN;V8 VANTAGE S;TWO-SEATER;8;M6;Z
359;6;18;13;16;ASTON MARTIN;VANQUISH;MINICOMPACT;12;A6;Z
202;2;10;7;9;AUDI;A4;COMPACT;4;AV8;Z
230;2;12;8;10;AUDI;A4 QUATTRO;COMPACT;4;AS8;Z
214;2;11;8;9;AUDI;A4 QUATTRO;COMPACT;4;M6;Z
230;2;12;8;10;AUDI;A5 CABRIOLET QUATTRO;SUBCOMPACT;4;AS8;Z
230;2;12;8;10;AUDI;A5 QUATTRO;SUBCOMPACT;4;AS8;Z
214;2;11;8;9;AUDI;A5 QUATTRO;SUBCOMPACT;4;M6;Z
235;2;12;8;10;AUDI;A6 QUATTRO;MID-SIZE;4;AS8;Z
251;3;13;9;11;AUDI;A6 QUATTRO;MID-SIZE;6;AS8;Z
217;3;10;6;8;AUDI;A6 QUATTRO TDI (modified);MID-SIZE;6;AS8;D
262;3;13;9;11;AUDI;A7 QUATTRO;MID-SIZE;6;AS8;Z
217;3;10;6;8;AUDI;A7 QUATTRO TDI (modified);MID-SIZE;6;AS8;D
258;3;13;9;11;AUDI;A8;MID-SIZE;6;AS8;Z
265;4;14;8;11;AUDI;A8;MID-SIZE;8;AS8;Z
224;3;10;7;8;AUDI;A8 TDI (modified);MID-SIZE;6;AS8;D
258;3;13;9;11;AUDI;A8L;FULL-SIZE;6;AS8;Z
288;4;15;10;13;AUDI;A8L;FULL-SIZE;8;AS8;Z
363;6;19;12;16;AUDI;A8L;FULL-SIZE;12;AS8;Z
224;3;10;7;8;AUDI;A8L TDI (modified);FULL-SIZE;6;AS8;D
242;2;12;9;11;AUDI;ALLROAD QUATTRO;STATION WAGON - SMALL;4;AS8;Z
239;2;12;9;10;AUDI;Q5;SUV - SMALL;4;AS8;Z
258;3;13;9;11;AUDI;Q5;SUV - SMALL;6;AS8;Z
244;3;10;8;9;AUDI;Q5 TDI (modified);SUV - SMALL;6;AS8;D
212;2;10;8;9;AUDI;Q5 HYBRID;SUV - SMALL;4;AS8;Z
304;3;15;11;13;AUDI;Q7;SUV - STANDARD;6;AS8;Z
